REFERENCIA,PRECIO X KILO,PRECIO X ROLLO,RENDIMIENTO,PRECIO APROX METRO,,
ANTIFLUIDO LICRADO SUBLIMADO," $ 56,250 ", N/A ,4.50," $ 12,500 ",,
ANTIFLUIDO RIGIDO SUBLIMADO," $ 50,400 ", N/A ,4.20," $ 12,000 ",,
ANTIFLUIDO UNIFORME," $ 45,600 ", N/A ,3.80," $ 12,000 ",,
BRUSH SUBLIMADO," $ 44,500 ", N/A ,3.30," $ 13,485 ",,
BRUSH CRUDO," $ 34,000 "," $ 19,400 ",3.40," $ 10,000 ",,
BRUSH BLANCO," $ 35,700 "," $ 19,400 ",3.40," $ 10,500 ",,
BRUSH UNICOLOR," $ 35,700 "," $ 20,900 ",3.40," $ 10,500 ",,
CARTAGO," $ 32,400 "," $ 27,000 ",2.70," $ 12,000 ",,
CHIRRIPO," $ 37,000 ", N/A ,2.00," $ 18,500 ",,
CONCHAL," $ 43,700 ", N/A ,3.80," $ 11,500 ",,
DOMINICAL," $ 42,550 ", N/A ,3.70," $ 11,500 ",,
GRANITO DE ARROZ 190G," $ 34,800 ", N/A ,2.90," $ 12,000 ",,
IRAZU," $ 35,200 ", N/A ,3.20," $ 11,000 ",,
JAQUARD B," $ 25,050 "," $ 21,500 ",2.39," $ 10,481 ",,
JAQUARD CONFORT," $ 34,000 ", N/A ,4.00," $ 8,500 ",,
JAQUARD CONJUNTO," $ 33,500 ", N/A ,2.68," $ 12,500 ",,
JAQUARD CRUCES," $ 29,050 ", N/A ,3.06," $ 9,493 ",,
JAQUARD FIT," $ 26,880 "," $ 24,500 ",2.56," $ 10,500 ",,
JAQUARD FLORES," $ 29,070 ", N/A ,3.06," $ 9,500 ",,
JAQUARD GAIA," $ 28,775 ", N/A ,3.03," $ 9,497 ",,
JAQUARD LINEAS," $ 26,100 ", N/A ,2.49," $ 10,482 ",,
JAQUARD NUDO," $ 24,990 "," $ 23,000 ",2.38," $ 10,500 ",,
JAQUARD TRENZA," $ 27,720 "," $ 26,000 ",2.64," $ 10,500 ",,
JAQUARD TRIBAL," $ 28,600 "," $ 25,000 ",2.49," $ 11,486 ",,
JAQUARD ZIG ZAG," $ 25,050 "," $ 21,500 ",2.39," $ 10,481 ",,
LANILLA WAFFLE," $ 29,000 ", N/A ,2.15," $ 13,488 ",,
MANZANILLO," $ 33,600 ", N/A ,2.80," $ 12,000 ",,
MESH," $ 57,360 ", N/A ,7.17," $ 8,000 ",,
MONTEZUMA," $ 34,500 ", N/A ,3.00," $ 11,500 ",,
NOSARA," $ 41,800 ",,3.80," $ 11,000 ",,
PIEL DE CONEJO SUBLIMADO," $ 37,500 ", N/A ,2.50," $ 15,000 ",,
PINILLA," $ 39,900 ", N/A ,3.80," $ 10,500 ",,
PLUSH," $ 28,750 ", N/A ,2.30," $ 12,500 ",,
POLY LICRA," $ 42,000 "," $ 33,000 ",2.80," $ 15,000 ",,
RIB 2*2," $ 31,800 "," $ 24,000 ",3.18," $ 10,000 ",,
RIB PITILLO," $ 29,750 "," $ 25,500 ",2.38," $ 12,500 ",,
RIB RAYAS 2*2," $ 33,300 ", N/A ,3.33," $ 10,000 ",,
SATIN," $ 52,800 "," $ 42,000 ",6.60," $ 8,000 ",,
SATIN CRISPO," $ 52,320 "," $ 42,000 ",4.55," $ 11,499 ",,
SATIN PERLA," $ 49,440 "," $ 42,000 ",6.18," $ 8,000 ",,
SATIN SUBLIMADO," $ 87,500 ", N/A ,7.00," $ 12,500 ",,
SAVEGRE," $ 42,050 ", N/A ,2.90," $ 14,500 ",,
SEDA DE MANGO UNICOLOR," $ 36,700 "," $ 25,000 ",4.90," $ 7,490 ",,
SEDA DE MANGO BLANCO Y NEGRO," $ 44,100 "," $ 25,000 ",4.90," $ 9,000 ",,
SEDA DE MANGO SUBLIMADO," $ 61,200 ", N/A ,4.90," $ 12,490 ",,
STANDARD," $ 22,900 "," $ 18,900 ",3.60," $ 6,361 ",,
STANDARD SUBLIMADO," $ 33,500 ", N/A ,3.60," $ 9,306 ",,
SUAVETINA SUBLIMADO," $ 34,500 ", N/A ,2.30," $ 15,000 ",,
TAMARINDO," $ 40,250 ", N/A ,3.50," $ 11,500 ",,
TWILL PIQUE," $ 28,150 ", N/A ,2.56," $ 10,996 ",,
UVITA," $ 26,325 "," $ 25,000 ",1.95," $ 13,500 ",,
WAFER," $ 32,400 "," $ 24,000 ",2.70," $ 12,000 ",,
WAFFLE NIDO DE ABEJA," $ 35,100 ", N/A ,2.60," $ 13,500 ",,
ACETATO,," $ 14,500 ",3.30," $ 4,394 ",,
CAMISETA PRO,," $ 14,500 ",2.58," $ 5,620 ",,
CAMISETA TERRY,," $ 14,500 ",2.66," $ 5,451 ",,
CHIFON CREPE,," $ 14,500 ",3.80," $ 3,816 ",,
CREPE,," $ 14,500 ",3.80," $ 3,816 ",,
LICRA DEPORTIVA,," $ 14,500 ",2.10," $ 6,905 ",,
LINO CABUYA,," $ 14,500 ",4.00," $ 3,625 ",,
LINO CAHUITA,," $ 14,500 ",4.30," $ 3,372 ",,
LINO POLIESTER,," $ 14,500 ",4.60," $ 3,152 ",,
PALMARES,," $ 14,500 ",5.70," $ 2,544 ",,
PITHAYA,," $ 14,500 ",2.50," $ 5,800 ",,
RIB,," $ 14,500 ",3.20," $ 4,531 ",,
SCUBA CREPE,," $ 14,500 ",2.60," $ 5,577 ",,
VELVET,," $ 14,500 ",2.50," $ 5,800 ",,